#songId, title, artist_name, artist_id, song_type, key, energy, liveness, tempo, speechiness, acousticness, instrumentalness, mode, time_signature, duration, loudness, valence, danceability
SONNIOV132C08092B8,Kulečník,Petr Kalandra,ARQKVTY1187FB52766,"studio, vocal",8,0.412133,0.08979,128.282,0.028609,0.730532,0,1,4,297.63955,-10.208,0.279217,0.445738
SOSCLWI13EAB932145,Ye Zindagi Ke Mele (feat. Arif Lohar),Attaullah Khan Esakhelvi,ARYOHPS11F50C48067,vocal,6,0.263292,0.760849,106.999,0.132557,0.742163,0,1,4,278.11955,-20.551,0.591997,0.417711
SOVDWAC13F68C9DAE2,Wonk (Tell Me What You Want),DJ Frizzo,ARKMPRM13B9CE2C83C,"studio, electric",1,0.916437,0.039283,119.036,0.071091,0.039971,0.857496,1,4,188.33088,-8.229,0.318217,0.433696
SOCDJHG14490ECE0A9,The Great Oppression,Lockjaw,ARM4ZOR1187FB5CB03,"instrumental, studio, electric",6,0.798168,0.125523,114.496,0.060807,2.00E-06,0.922725,0,4,232.33288,-6.629,0.334049,0.424141
SOFVEPE143A438558D,I Saw the Light,Tennessee River Authority,ARHHVJL12AF7D93D5F,"studio, electric",7,0.749523,0.382399,132.983,0.031216,0.006836,0.720101,1,4,182.71955,-7.368,0.918022,0.4131
SOJTQRS13E904F6F2C,Não Dá Mais Pra Segurar (Explode Coração),Diego Moraes,ARCMGAZ12AF7D8F101,,6,0.09988,0.709694,111.326,0.063464,0.867419,0,0,4,166.07955,-24.879,0.169506,0.435875
SOBDWOV1312A8A864C,Track 3,Yogi Hari,ARCSOHD122ECCBB6BB,"studio, vocal",6,0.603147,0.274723,137.861,0.038266,0.796303,0.000299,1,4,481.87955,-4.398,0.393054,0.432199
SOYBDBB1466DAC4D2A,What I Want,Shelley Segal,ARFTXAQ1313EFA73CC,"studio, electric, vocal",4,0.763338,0.205274,184.13,0.173457,0.037231,0.000123,0,4,218.86621,-7.267,0.41891,0.432881
SOYQKRC13C1BA11F5C,Santo y Digno,Morgan Bryan,ARAQQDY12AF7D8DA23,"studio, electric, vocal",2,0.85038,0.086315,149.932,0.039591,0.264099,0,1,4,265.03791,-3.566,0.425288,0.445997
SONQIIA147F6146716,Il vagabondo,Milagro,ARYMDVA123526A0CA4,"studio, vocal",7,0.395118,0.096068,65.224,,0.733773,1.50E-05,1,4,231.3819,-8.47,0.198754,0.448621
SOJRIYE12AC3DF4574,Me & You,Voice Of Canvas,ARBWZKY1269FCD2040,"instrumental, studio",7,0.196752,0.14518,94.551,0.03297,0.8859,0.910789,0,4,313.56236,-20.272,0.19626,0.401371
SOBOCJX14297171552,Jaded Letters from the Desk of T.Minich,Auto!Automatic!!,ARS1G6P1187B998BA7,"studio, electric",7,0.654873,0.315086,93.029,0.041891,0.20241,0.805927,1,4,188.29016,-9.013,0.806337,0.426768
SOEAHHK13E72B9173A,Another Universe,Emerald,ARQZ60W1187FB39029,"studio, electric, vocal",7,0.982138,0.144963,161.987,0.064514,8.30E-05,0.001551,0,4,251.57288,-3.798,0.634903,0.434976
SOXFAUU1315CD40EEE,Battle of Evermore,Tu Fawning,ARIHMJJ11C8A4155FF,"studio, vocal",9,0.814679,0.105848,119.785,0.130748,0.85872,1.80E-05,0,4,317.71855,-7.742,0.321021,0.447855
SOBAHYP1419D90AFC7,The Land O' the Leal,Alex Campbell,ARHAK1J1187FB458A0,"acoustic, studio, vocal",0,0.039895,0.203396,143.535,0.046799,0.902737,2.00E-06,1,3,168.56358,-21.82,0.34449,0.427023
SOSWSAJ13F6565D02A,Winnebago,Bromheads,ARYLMTQ125FEF3237F,"studio, electric, vocal",9,0.918607,0.291905,184.973,0.163928,0.01182,2.00E-06,1,4,140.67955,-5.232,0.592779,0.414946
SORUCCH12AB018220E,Mercer Island,Fairweather,AR507CP1187B9B34FF,"studio, electric, vocal",2,0.958437,0.115928,91.875,0.052223,0.001542,0.354606,1,4,158.11955,-5.172,0.224103,0.42337
SOETPZX1372483F8D6,Rocca Maura,Greg Fontaine,ARMYQML133F5CF7F3E,"studio, electric",9,0.330646,0.426622,149.927,0.027526,0.105985,0.545924,0,3,226.47955,-12.495,0.150543,0.416915
SOBHRGD130516E0CB3,Black Out,Lombego Surfers,ART2JVZ1187FB3CC42,"studio, electric, vocal",0,0.94526,0.306049,99.126,0.099462,0.001144,0.157974,1,4,157.82621,-2.935,0.753859,0.407639
SOIMBBQ14134E548E3,Pig Latin,Deathstar,ARPINYO12454A2E4AB,"studio, electric, vocal",4,0.800328,0.28588,85.232,0.50217,0.203723,0,0,4,168.07138,-9.924,0.561682,0.42877
SOVYHHN12AB0186CDD,Boscoso y Fogoso,Sara Van,ARZLXBS1241B9C6917,"studio, vocal",9,0.406941,0.09125,185.994,0.161094,0.740644,0,0,3,359.60866,-7.267,0.292888,0.418246
SOQAHJU146BDE9DE73,Here Comes Santa Claus,Oh Hush!,ARFTDCI133D0D271C4,"studio, christmas, vocal, electric",0,0.918746,0.341907,144.988,0.084656,0.000146,0.000297,1,4,202.3444,-2.385,0.564504,0.412717
SOXWBUM13E6BF58407,Invocation,Brad Roberts,ARXE49G1187FB45997,"studio, electric, vocal",9,0.226238,0.35118,139.553,0.049524,0.249994,0.00032,1,3,304.71388,-18.094,0.092874,0.424803
SODWFEI131634A894A,Er sah aus wie ein Lord,Corry Brokken,ARB2LJF1187B9BA3E6,"studio, vocal",6,0.42073,0.656517,78.221,0.084306,0.89866,0,0,5,187.57206,-11.009,0.340756,0.405398
SOMTJWC1311AFE5ADA,My Real Life,Misa Sugiyama,ARJDDQE12802FDE94B,"studio, vocal",7,0.819744,0.240806,118.497,0.071962,0.580279,0.024453,0,4,268.59955,-8.609,0.637616,0.444802
SOPBTOG12B3A1B7DF7,Kimbra,Rockets to Mars,ARD4SAQ1187FB4B264,"studio, electric, vocal",9,0.74102,0.364079,136.899,0.032364,0.178456,0.002667,1,4,133.23955,-10.147,0.666994,0.419849
SOISAFS13E97DB55DC,(Somewhere) over the Rainbow,Lauren Mink,ARWOHDC12420782CAD,"studio, vocal",7,0.26746,0.213489,99.82,0.0305,0.889677,9.00E-06,1,4,175.46621,-5.321,0.252622,0.422178
SOMYSFS12AB0185700,Bad Catholic Education,No More Lies,ARNDWH61187FB37CDB,"studio, electric, vocal",11,0.972787,0.084248,100.063,0.061945,6.00E-05,9.60E-05,1,4,146.85995,-2.882,0.499576,0.427678
SOMMMID12A8C134683,Pianobrand,Clamür,ARVJQZT11F4C83E373,"acoustic, studio",9,0.071232,0.095199,128.678,0.039583,0.90976,0.682943,0,4,411.03955,-21.358,0.144227,0.413864
SOFIPIW1311AFECB16,Total Goombah,Hanson Brothers,ARCEABI11E2835D306,"studio, electric, vocal",7,0.997334,0.630919,148.986,0.065025,5.90E-05,0.064441,0,4,139.13333,-6.116,0.244215,0.417994
SOPYQYH142B39652C6,Yön syke,Nukkekoti,ARNQLIE1187B9A7DB3,"studio, electric, vocal",7,0.973501,0.08033,98.862,0.048994,1.20E-05,0.002586,1,4,170.4224,-3.937,0.50695,0.413822
SOSLEWX144D6BD2E5C,Teresa,Matteo Salvatore,ARPU7GA1187B99034B,"instrumental, acoustic, studio",7,0.09298,0.110921,60.203,0.034289,0.973767,0.917779,1,4,181.61288,-19.476,0.214163,0.449364
SOXVLXA1315CD4E42E,Brinstar (SM),Metroid Metal,ARRKNVZ1271F576803,"studio, electric",6,0.765712,0.113644,132.378,0.095749,0.01773,0.724115,0,4,258.98621,-6.269,0.182415,0.42328
SOONADO134EE36BCDD,Traveling Afar,Dennis Dennehy,ARXFEUD133B3F1352D,"studio, vocal",1,0.334628,0.130633,117.741,0.033694,0.815806,0.000104,0,1,269.99955,-8.928,0.269206,0.449058
SOLCLDO1372EDE305E,Crawling,Divided Opinions,ARKSDEM1359C24C721,"studio, electric, vocal",4,0.751689,0.100216,133.773,0.032114,0.01364,1.00E-06,0,4,390.77288,-3.811,0.438038,0.441039
SOTGAAJ12AAF3B4A17,My Eyes Are Blue,Ilene Barnes,ARUAIKV1187B99531E,"studio, vocal",6,0.214012,0.104558,76.12,0.035715,0.899892,0.000474,0,4,283.06621,-14.357,0.099386,0.442865
SOFOLTI12BF47557EB,Caravan,Paddy Milner,AROJBCL1187FB37D1F,"instrumental, studio",8,0.716298,0.346368,114.39,0.027822,0.541269,0.955466,1,4,246.93288,-10.866,0.698944,0.403643
SOZIOQB1315CD4DCBA,Rest In Me,Chris Alderdice,ARLNHZR12420781AF6,"instrumental, studio, electric",4,0.49772,0.080409,83.963,0.03226,0.093059,0.938285,0,4,258.57066,-8.684,0.437816,0.445645
SOFEBIG12AF72A65B7,Goin' Steady with the Moon,Barbara McNair,ARGMXEQ1187FB4A4E0,"acoustic, studio, vocal",1,0.253761,0.111618,110.077,0.029002,0.949805,0,1,3,164.26621,-9.543,0.523607,0.429457
SOWFJTK143A01C9FCE,Walking Together,Art Decade,AR7JGZM1187FB45A4C,"studio, electric, vocal",1,0.498313,0.141519,94.122,0.027344,0.065424,0.000438,1,3,222.18621,-10.375,0.561307,0.440694
SOUFPIF1372A9FE62C,The Night Has 1000 Eyes,Martin Kern,ARMCFUN136658EBA79,studio,0,0.620506,0.132548,134.829,0.032264,0.692015,0.667134,1,4,390.83955,-7.8,0.533395,0.402295
SODCNNY131343895B4,Neo (Deceptor) Cons,Fear Like Us,ARUEZPQ1241B9C8552,"studio, vocal",2,0.493365,0.234242,138.26,0.030891,0.488244,0.226319,0,4,253.43955,-8.478,0.339514,0.417066
SOBLSGZ12A8C13AC48,Blame It On The Rain (2002 Digital Remaster),Michael Johnson,ARU7XUM1187FB5722A,"studio, vocal",10,0.456373,0.194321,131.319,0.03035,0.54076,0,1,4,215.53288,-7.415,0.307188,0.408961
SOSMIMQ1435A485B9A,Sandra Valeria,Carlos Grether,ARASGVV13E5E0FA1C2,"acoustic, studio, vocal",2,0.274381,0.096176,110.046,0.034409,0.952753,0.043271,1,4,373.7737,-14.219,0.152572,0.428669
SORQZJB132C02A7038,Tree Circle,Isato Nakagawa,AR6LGVY1187FB3841D,"acoustic, studio",0,0.187242,0.114991,114.516,0.055237,0.956188,0.840838,0,3,188.81261,-19.317,0.409929,0.431742
SOBDQJL1442DF48A3A,"Fé Cega, Faca Amolada (Ao Vivo)",Margareth Menezes,ARQCXY91187FB52E13,"studio, electric, vocal",9,0.851984,0.126512,160.089,0.145517,0.02002,0,1,4,210.57261,-9.237,0.693386,0.421826
SOAQBNK13D43E3EA13,Angels Of Glass,Nightmare,ARHN4QQ1187B9A450D,"studio, electric, vocal",8,0.939754,0.102099,120.001,0.091199,1.90E-05,0.211231,1,4,259.45932,-6.391,0.120156,0.408823
SOUSEOB1313438A313,Now My Eyes Have Seen You,Lifetone,ARIQGVX11EBCD74FA7,"studio, electric, vocal",7,0.483541,0.082898,165.785,0.024016,0.027418,0.063815,1,3,338.15955,-9.567,0.188041,0.408942
SOYCCUL1311AFD51E5,Untold Stories,Hananeel,ARLBGGN12FE08788EB,"acoustic, studio",5,0.047373,0.076886,101.9,0.036752,0.98833,0.897593,1,4,379.79429,-17.429,0.290587,0.408115
SOHMNAP130516DEFD6,St. Bliss,The Toot Toot Toots,ARZCBZN12CEB2752CD,"acoustic, studio, vocal",2,0.269334,0.229653,87.988,0.052124,0.971782,0,1,3,200.22621,-8.098,0.345246,0.42755
SOGVZTW13C1BA5E17E,You don't know me,Kent Lundberg,ARBTYPS134CD5120CA,"acoustic, studio, vocal",11,0.211502,0.096681,83.804,0.0387,0.959068,2.70E-05,1,4,152.35955,-11.496,0.120692,0.440601
SOJUBIA1409F1DF392,Downsizing Nosedive,The Gold Sparkle Band,ARUW8MV1187FB552B5,"studio, electric",8,0.726765,0.295449,80.952,0.106633,0.062024,0.735058,1,4,231.52281,-8.944,0.539788,0.412897
SOARDSV1311AFE89C4,La Sangen Stige,Bjørn Aslaksen,ARIWBQK123E29C1665,"studio, electric, vocal",5,0.506221,0.169083,160.025,0.033233,0.291653,0,1,4,370.02404,-10.025,0.353063,0.445869
SOZXNWL130516E1252,Dziś Raz I Na Zawsze,Carol of Harvest,AR45LLM1187FB4C4CF,"studio, vocal",7,0.238624,0.094396,110.097,0.033058,0.874742,1.00E-05,1,4,176.67955,-13.32,0.311043,0.431914
SOKKZCW13720C522DD,My Funny Valentine,Serge Ermoll,ARTHFKY11F4C83E161,"studio, vocal",8,0.330177,0.264808,114.303,0.032796,0.870471,0.039101,0,4,664.23955,-12.689,0.148808,0.424303
SOUWFID13724533EC7,Storm,Priscilla Hernandez,ARTN6JN1187FB4EBF7,"studio, vocal",2,0.380659,0.109828,135.981,0.047313,0.449452,0.008385,1,4,264.64744,-15.035,0.133267,0.439575
